# Mamba packages
# packages in environment at /home/znmeb/mambaforge/envs/acs-1:
#
# Name                    Version                   Build  Channel
r-miniui                  0.1.1.1         r42hc72bb7e_1004    conda-forge
r-modelr                  0.1.11            r42hc72bb7e_1    conda-forge
r-munsell                 0.5.0           r42hc72bb7e_1006    conda-forge
r-nlme                    3.1_163           r42hd5055e1_0    conda-forge
r-nnet                    7.3_19            r42h25e906a_1    conda-forge
r-numbers                 0.8_5             r42hc72bb7e_1    conda-forge
r-openssl                 2.1.1             r42h2a8de3c_0    conda-forge
r-packrat                 0.9.2             r42hc72bb7e_0    conda-forge
r-pbdzmq                  0.3_10            r42h249d229_0    conda-forge
r-pillar                  1.9.0             r42hc72bb7e_1    conda-forge
r-pkgbuild                1.4.2             r42hc72bb7e_0    conda-forge
r-pkgconfig               2.0.3             r42hc72bb7e_3    conda-forge
r-pkgdown                 2.0.7             r42hc72bb7e_1    conda-forge
r-pkgload                 1.3.3             r42hc72bb7e_0    conda-forge
r-png                     0.1_8             r42hef9d8e0_1    conda-forge
r-praise                  1.0.0           r42hc72bb7e_1007    conda-forge
r-prettyunits             1.2.0             r42hc72bb7e_0    conda-forge
r-processx                3.8.2             r42h25e906a_0    conda-forge
r-profvis                 0.3.8             r42h25e906a_3    conda-forge
r-progress                1.2.2             r42hc72bb7e_4    conda-forge
r-promises                1.2.1             r42h93f32a7_0    conda-forge
r-ps                      1.7.5             r42h25e906a_1    conda-forge
r-purrr                   1.0.2             r42h25e906a_0    conda-forge
r-quarto                  1.2               r42hc72bb7e_1    conda-forge
r-r6                      2.5.1             r42hc72bb7e_2    conda-forge
r-ragg                    1.2.5             r42habb2735_3    conda-forge
r-rappdirs                0.3.3             r42h25e906a_2    conda-forge
r-rbibutils               2.2.15            r42h9d23599_0    conda-forge
r-rcmdcheck               1.4.0             r42h785f33e_2    conda-forge
r-rcolorbrewer            1.1_3             r42h785f33e_2    conda-forge
r-rcpp                    1.0.11            r42h93f32a7_0    conda-forge
r-rcpptoml                0.2.2             r42ha6e910b_1    conda-forge
r-rdpack                  2.5               r42hc72bb7e_0    conda-forge
r-readr                   2.1.4             r42h93f32a7_1    conda-forge
r-readxl                  1.4.3             r42h53325e7_0    conda-forge
r-recommended             4.2             r42hd8ed1ab_1006    conda-forge
r-rematch                 2.0.0             r42hc72bb7e_0    conda-forge
r-rematch2                2.1.2             r42hc72bb7e_3    conda-forge
r-remotes                 2.4.2.1           r42hc72bb7e_0    conda-forge
r-renv                    1.0.3             r42hc72bb7e_0    conda-forge
r-repr                    1.1.6             r42h785f33e_1    conda-forge
r-reprex                  2.0.2             r42hc72bb7e_2    conda-forge
r-reticulate              1.32.0            r42h93f32a7_0    conda-forge
r-rlang                   1.1.1             r42h93f32a7_1    conda-forge
r-rmarkdown               2.25              r42hc72bb7e_0    conda-forge
r-roxygen2                7.2.3             r42h93f32a7_1    conda-forge
r-rpart                   4.1.19            r42h25e906a_1    conda-forge
r-rprojroot               2.0.3             r42hc72bb7e_1    conda-forge
r-rsconnect               1.1.0             r42hc72bb7e_0    conda-forge
r-rstudioapi              0.15.0            r42hc72bb7e_0    conda-forge
r-rversions               2.1.2             r42hc72bb7e_2    conda-forge
r-rvest                   1.0.3             r42hc72bb7e_2    conda-forge
r-sass                    0.4.7             r42h93f32a7_0    conda-forge
r-scales                  1.2.1             r42hc72bb7e_2    conda-forge
r-selectr                 0.4_2             r42hc72bb7e_3    conda-forge
r-sessioninfo             1.2.2             r42hc72bb7e_2    conda-forge
r-shiny                   1.7.5             r42h785f33e_0    conda-forge
r-sourcetools             0.1.7_1           r42h93f32a7_1    conda-forge
r-spatial                 7.3_17            r42h25e906a_0    conda-forge
r-stringi                 1.7.12            r42h0566d91_3    conda-forge
r-stringr                 1.5.0             r42h785f33e_1    conda-forge
